name;bool_val
Парфино;1
Пестово;1
Поддорье;1
Сольцы;1
Старая Русса;1
Хвойное;1
Холм;1
Чудово;1
Шимск;1
Баган;0
Барабинск;0
Бердск;0
Биаза;0
Болотное;0
Венгерово;0
Довольное;0
Завьялово;0
Искитим;0
Карасук;0
Каргат;0
Колывань;0
Краснозерское;0
Крутиха;0
Куйбышев;0
Купино;0
Кыштовка;0
Маслянино;0
Михайловский;0
Мошково;0
Новосибирск;0
Ордынское;0
Северное;0
Сузун;0
Татарск;0
Тогучин;0
Убинское;0
Усть-Тарка;0
Чаны;0
Черепаново;0
Чистоозерное;0
Чулым;0
Береговой;0
Большеречье;0
Большие Уки;0
Горьковское;0
Знаменское;0
Исилькуль;0
Калачинск;0
Колосовка;0
Кормиловка;0
Крутинка;0
Любинский;0
Марьяновка;0
Муромцево;0
Называевск;0
Нижняя Омка;0
Нововаршавка;0
Одесское;0
Оконешниково;0
Омск;0
Павлоградка;0
Полтавка;0
Русская Поляна;0
Саргатское;0
Седельниково;0
Таврическое;0
Тара;0
Тевриз;0
Тюкалинск;0
Усть-Ишим;0
Черлак;0
Шербакуль;0
Абдулино;1
Адамовка;1
Айдырлинский;1
Акбулак;1
Аккермановка;1
Асекеево;1
Беляевка;1
Бугуруслан;1
Бузулук;1
Гай;1
Грачевка;1
Домбаровский;1
Дубенский;1
Илек;1
Ириклинский;1
Кувандык;1
Курманаевка;1
Матвеевка;1
Медногорск;1
Новоорск;1
Новосергиевка;1
Новотроицк;1
Октябрьское;1
Оренбург;1
Орск;1
Первомайский;1
Переволоцкий;1
Пономаревка;1
Саракташ;1
Светлый;1
Северное;1
Соль-Илецк;1
Сорочинск;1
Ташла;1
Тоцкое;1
Тюльган;1
Шарлык;1
Энергетик;1
Ясный;1
Болхов;1
Верховье;1
Глазуновка;1
Дмитровск-Орловский;1
Долгое;1
Залегощь;1
Змиевка;1
Знаменское;1
Колпны;1
Красная Заря;1
Кромы;1
Ливны;1
Малоархангельск;1
Мценск;1
Нарышкино;1
Новосиль;1
Орел;1
Покровское;1
Сосково;1
Тросна;1
Хомутово;1
Хотынец;1
Шаблыкино;1
Башмаково;1
Беднодемьяновск;1
Беково;1
Белинский;1
Бессоновка;1
Вадинск;1
Верхозим;1
Городище;1
Евлашево;1
Земетчино;1
Золотаревка;1
Исса;1
Каменка;1
Колышлей;1
Кондоль;1
Кузнецк;1
Лопатино;1
Малая Сердоба;1
Мокшан;1
Наровчат;1
Неверкино;1
Нижний Ломов;1
Никольск;1
Пачелма;1
Пенза;1
Русский Камешкир;1
Сердобск;1
Сосновоборск;1
Сура;1
Тамала;1
Шемышейка;1
Барда;1
Березники;1
Большая Соснова;1
Верещагино;1
Гайны;1
Горнозаводск;1
Гремячинск;1
Губаха;1
Добрянка;1
Елово;1
Зюкайка;1
Ильинский;1
Карагай;1
Керчевский;1
Кизел;1
Коса;1
Кочево;1
Красновишерск;1
Краснокамск;1
Кудымкар;1
Куеда;1
Кунгур;1
Лысьва;1
Ныроб;1
Нытва;1
Октябрьский;1
Орда;1
Оса;1
Оханск;1
Очер;1
Пермь;1
Соликамск;1
Суксун;1
Уинское;1
Усолье;1
Усть-Кишерть;1
Чайковский;1
Частые;1
Чердынь;1
Чернореченский;1
Чернушка;1
Чусовой;1
Юрла;1
Юсьва;1
Анучино;0
Арсеньев;0
Артем;0
Артемовский;0
Большой Камень;0
Валентин;0
Владивосток;0
Высокогорск;0
Горные Ключи;0
Горный;0
Дальнегорск;0
Дальнереченск;0
Зарубино;0
Кавалерово;0
Каменка;0
Камень-Рыболов;0
Кировский;0
Лазо;0
Лесозаводск;0
Лучегорск;0
Михайловка;0
Находка;0
Новопокровка;0
Ольга;0
Партизанск;0
Пограничный;0
Покровка;0
Русский;0
Самарга;0
Славянка;0
Спасск-Дальний;0
Терней;0
Уссурийск;0
Фокино;0
Хасан;0
Хороль;0
Черниговка;0
Чугуевка;0
Яковлевка;0
Бежаницы;1
Великие Луки;1
Гдов;1
Дедовичи;1
Дно;1
Заплюсье;1
Идрица;1
Красногородское;1
Кунья;1
Локня;1
Невель;1
Новоржев;1
Новосокольники;1
Опочка;1
Остров;1
Палкино;1
Печоры;1
Плюсса;1
Порхов;1
Псков;1
Пустошка;1
Пушкинские Горы;1
Пыталово;1
Себеж;1
Струги-Красные;1
Усвяты;1
Азов;1
Аксай;1
Алмазный;1
Аютинск;1
Багаевский;1
Батайск;1
Белая Калитва;1
Боковская;1
Большая Мартыновка;1
Вешенская;1
Волгодонск;1
Восход;1
Гигант;1
Горняцкий;1
Гуково;1
Донецк;1
Донской;1
Дубовское;1
Егорлыкская;1
Жирнов;1
Заветное;1
Заводской;1
Зверево;1
Зерноград;1
Зимовники;1
Кагальницкая;1
Казанская;1
Каменоломни;1
Каменск-Шахтинский;1
Кашары;1
Коксовый;1
Константиновск;1
Красный Сулин;1
Куйбышево;1
Матвеев Курган;1
Мигулинская;1
Миллерово;1
Милютинская;1
Морозовск;1
Новочеркасск;1
Новошахтинск;1
Обливская;1
Орловский;1
Песчанокопское;1
Покровское;1
Пролетарск;1
Ремонтное;1
Родионово-Несветайская;1
Ростов-на-Дону;1
Сальск;1
Семикаракорск;1
Таганрог;1
Тарасовский;1
Тацинский;1
Усть-Донецкий;1
Целина;1
Цимлянск;1
Чалтырь;1
Чертково;1
Шахты;1
Шолоховский;1
Александро-Невский;1
Горняк;1
Гусь Железный;1
Елатьма;1
Ермишь;1
Заречный;1
Захарово;1
Кадом;1
Касимов;1
Кораблино;1
Милославское;1
Михайлов;1
Пителино;1
Пронск;1
Путятино;1
Рыбное;1
Ряжск;1
Рязань;1
Сапожок;1
Сараи;1
Сасово;1
Скопин;1
Спас-Клепики;1
Спасск-Рязанский;1
Старожилово;1
Ухолово;1
Чучково;1
Шацк;1
Шилово;1
Алексеевка;1
Безенчук;1
Богатое;1
Богатырь;1
